j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
16.0;344.2;6.6;182.5;1.0;1.0;1.0;1.0;24444.755;344.2;241.917;0.0;2858.222;0.0;61.724;139.0;148.051;4.574;362.269;-0.0;105.0;66.0;70.917;0.0;1092.039;857.07;909.113;5000;0;0;0
17.0;368.8;5.7;184.2;1.0;1.0;1.0;1.0;31252.629;368.8;321.655;304.921;3181.859;50.689;0.0;139.0;184.101;4.99;367.259;45.155;120.0;66.0;90.499;304.921;1208.39;857.07;1116.399;0;0;0;0
18.0;377.0;5.3;184.2;1.0;1.0;1.0;1.0;32172.864;377.0;326.229;305.504;3228.48;50.781;0.0;139.0;192.209;4.99;372.249;45.325;120.0;66.0;94.903;305.504;1208.39;857.07;1163.02;0;0;0;0
19.0;379.6;4.9;184.5;1.0;1.0;1.0;1.0;33389.654;379.6;327.771;305.94;3203.94;50.85;0.001;140.232;193.58;5.063;377.312;45.453;120.0;66.669;95.648;305.94;1168.882;864.155;1170.904;0;0;0;0
20.0;403.8;4.1;184.5;1.0;1.0;1.0;1.0;35244.934;403.8;340.917;305.94;3382.605;50.85;0.0;139.0;219.013;5.063;382.375;45.453;120.0;66.0;109.464;305.94;1208.39;857.07;1317.145;0;0;0;0
21.0;475.9;3.1;184.2;1.0;1.0;1.0;1.0;44004.848;475.9;320.581;305.94;3227.072;50.85;81.85;139.001;209.189;4.99;387.364;45.453;105.0;66.001;104.127;305.94;1109.34;857.077;1260.655;0;0;0;0
22.0;455.8;2.3;184.2;1.0;1.0;1.0;1.0;41793.012;455.8;306.916;305.94;3086.773;50.85;86.905;139.0;184.034;4.99;392.354;45.453;105.0;66.0;90.463;305.94;1113.686;857.07;1116.017;0;0;0;0
23.0;468.7;1.5;184.2;1.0;1.0;1.0;1.0;43224.002;468.7;311.94;305.941;3143.086;50.85;90.558;139.0;193.282;4.99;397.344;45.453;105.0;66.0;95.486;305.941;1116.826;857.07;1169.19;0;0;0;0
24.0;484.0;0.6;173.0;1.0;1.0;1.0;1.0;41425.222;484.0;316.807;305.94;3197.71;50.85;94.161;139.0;202.243;2.254;399.598;45.453;105.0;66.0;100.354;305.94;1119.923;857.071;1220.716;0;0;0;0
25.0;452.6;-1.7;188.4;1.0;1.0;1.0;1.0;42739.81;452.6;333.673;305.941;3325.585;50.85;35.481;139.0;220.0;-7.269;392.329;45.453;112.22;66.0;110.0;305.941;1145.695;857.07;1322.82;0;0;0;0
26.0;435.0;-2.0;188.4;1.0;1.0;1.0;1.0;41126.633;435.0;351.166;305.94;3451.584;50.85;0.001;156.88;220.0;-7.269;385.061;45.453;120.0;75.713;110.0;305.94;1168.882;959.882;1322.82;0;0;0;0
27.0;429.3;-2.0;188.4;1.0;1.0;1.0;1.0;39662.233;429.3;348.07;305.941;3458.323;50.85;-0.0;151.181;220.0;-7.269;377.792;45.453;120.0;72.617;110.0;305.941;1208.39;927.113;1322.82;0;0;0;0
28.0;432.0;-3.3;184.8;1.0;1.0;1.0;1.0;39573.157;432.0;293.044;305.94;2930.349;50.85;75.76;139.0;158.496;-7.894;369.898;45.453;105.0;66.0;76.591;305.94;1104.105;857.07;969.174;0;0;0;0
29.0;410.2;-3.6;184.8;1.0;1.0;1.0;1.0;36305.201;410.2;337.355;305.94;3344.902;50.85;0.0;139.0;212.456;-7.894;362.004;45.453;120.0;66.0;105.902;305.94;1208.39;857.07;1279.442;0;0;0;0
30.0;411.1;-3.0;184.8;1.0;1.0;1.0;1.0;37226.686;411.1;337.843;305.94;3310.562;50.85;0.001;139.0;213.355;-7.894;354.11;45.453;120.0;66.0;106.39;305.94;1168.881;857.07;1284.611;0;0;0;0
31.0;481.6;-4.1;188.4;1.0;1.0;1.0;1.0;46203.099;481.6;314.936;305.94;3170.611;50.85;85.684;139.916;197.881;-7.269;346.842;45.453;105.0;66.498;97.985;305.94;1112.636;862.338;1195.636;0;0;0;0
32.0;475.4;-3.4;188.4;1.0;1.0;1.0;1.0;45509.141;475.4;319.047;305.94;3202.467;50.85;72.044;139.0;206.237;-7.269;339.573;45.453;105.07;66.0;102.524;305.94;1101.712;857.07;1243.684;0;0;0;0
33.0;464.8;-2.4;204.9;1.0;1.0;1.0;1.0;49702.093;464.8;368.911;305.94;3678.931;50.85;0.0;189.548;220.0;-4.402;335.171;45.453;120.0;93.458;110.0;305.94;1208.39;1147.721;1322.82;0;0;0;0
34.0;446.1;-1.0;267.1;1.0;1.0;1.0;1.0;70016.163;446.1;364.623;305.94;3633.542;50.85;0.0;181.654;220.0;6.404;341.575;45.453;120.0;89.17;110.0;305.94;1208.39;1102.332;1322.82;0;0;0;0
35.0;400.8;0.7;269.2;1.0;1.0;1.0;1.0;63696.154;400.8;340.214;305.94;3375.165;50.85;0.0;139.0;217.719;6.769;348.344;45.453;120.0;66.0;108.761;305.94;1208.39;857.07;1309.705;0;0;0;0
36.0;385.6;2.3;269.2;1.0;1.0;1.0;1.0;61315.346;385.6;331.957;305.94;3287.765;50.85;0.0;139.0;202.519;6.769;355.114;45.453;120.0;66.0;100.504;305.94;1208.39;857.07;1222.305;0;0;0;0
37.0;346.7;3.6;269.2;1.0;1.0;1.0;1.0;55222.358;346.7;310.827;305.941;3064.09;50.85;-0.0;139.0;163.619;6.769;361.883;45.453;120.0;66.0;79.373;305.941;1208.39;857.07;998.63;0;0;0;0
38.0;283.6;4.5;269.2;1.0;1.0;1.0;1.0;44247.191;283.6;258.719;0.0;2993.652;0.0;-0.0;139.0;151.369;6.769;368.652;0.0;120.0;66.0;72.719;0.0;1208.39;857.07;928.192;0;0;0;0
39.0;280.3;5.0;269.2;1.0;1.0;1.0;1.0;43730.305;280.3;256.926;0.0;2974.677;0.0;0.0;139.0;148.069;6.769;375.421;0.0;120.0;66.0;70.926;0.0;1208.39;857.07;909.217;0;0;0;0
40.0;309.2;4.9;269.2;1.0;1.0;1.0;1.0;43256.973;309.2;272.625;0.0;3140.852;0.0;-0.0;139.0;176.969;6.769;382.19;0.0;120.0;66.0;86.625;0.0;1208.39;857.07;1075.392;5000;0;0;0
41.0;347.4;4.3;269.2;1.0;1.0;1.0;1.0;55332.0;347.4;311.207;305.941;3068.115;50.85;-0.0;139.0;164.319;6.769;388.959;45.453;120.0;66.0;79.754;305.941;1208.39;857.07;1002.655;0;0;0;0
42.0;353.0;3.7;269.2;1.0;1.0;1.0;1.0;56209.14;353.0;314.249;305.941;3100.315;50.85;-0.0;139.0;169.919;6.769;395.728;45.453;120.0;66.0;82.796;305.941;1208.39;857.07;1034.855;0;0;0;0
43.0;356.4;3.0;269.2;1.0;1.0;1.0;1.0;56741.689;356.4;316.096;305.94;3119.865;50.85;0.0;139.0;173.319;6.769;402.497;45.453;120.0;66.0;84.642;305.94;1208.39;857.07;1054.405;0;0;0;0
44.0;365.8;2.6;269.2;1.0;1.0;1.0;1.0;58214.031;365.8;321.202;305.94;3173.915;50.85;0.0;139.0;182.719;6.769;409.266;45.453;120.0;66.0;89.749;305.94;1208.39;857.07;1108.455;0;0;0;0
45.0;384.1;2.6;269.2;1.0;1.0;1.0;1.0;61080.398;384.1;331.143;305.94;3279.14;50.85;0.0;139.0;201.019;6.769;416.035;45.453;120.0;66.0;99.689;305.94;1208.39;857.07;1213.68;0;0;0;0
46.0;401.1;2.8;236.6;1.0;1.0;1.0;1.0;52596.307;401.1;337.301;305.94;3344.323;50.85;0.0;139.0;212.355;1.105;417.141;45.453;120.0;66.0;105.847;305.94;1208.39;857.07;1278.863;0;0;0;0
47.0;425.4;2.9;186.4;1.0;1.0;1.0;1.0;38537.015;425.4;345.763;305.941;3433.9;50.85;0.0;146.934;220.0;-7.616;409.525;45.453;120.0;70.31;110.0;305.941;1208.39;902.69;1322.82;0;0;0;0
48.0;407.6;2.8;173.1;1.0;1.0;1.0;1.0;33595.096;407.6;282.453;305.94;2812.282;50.85;68.823;139.0;139.0;-9.927;399.598;45.453;105.0;66.0;66.0;305.94;1098.142;857.07;857.07;0;0;0;0
49.0;432.0;3.4;171.9;1.0;1.0;1.0;1.0;35736.875;432.0;293.931;305.94;2940.373;50.85;76.498;139.0;160.129;-5.523;394.075;45.453;105.0;66.0;77.478;305.94;1104.739;857.07;978.564;0;0;0;0
50.0;441.3;3.1;170.5;1.0;1.0;1.0;1.0;36151.273;441.3;307.169;305.941;3067.307;50.85;61.146;153.724;169.775;-5.804;388.271;45.453;105.0;73.998;82.718;305.941;1091.543;941.735;1034.029;0;0;0;0
51.0;396.4;2.8;170.5;1.0;1.0;1.0;1.0;31466.693;396.4;286.306;305.941;2840.886;50.85;54.653;139.0;146.093;-5.804;382.467;45.453;105.0;66.0;69.853;305.941;1085.961;857.07;897.855;0;0;0;0
52.0;429.0;2.5;170.5;1.0;1.0;1.0;1.0;34835.051;429.0;303.418;305.94;3022.966;50.85;55.751;139.0;177.595;-5.804;376.664;45.453;105.0;66.0;86.965;305.94;1086.905;857.072;1078.989;0;0;0;0
53.0;423.5;1.7;170.5;1.0;1.0;1.0;1.0;34230.913;423.5;302.671;305.941;3011.512;50.85;51.627;149.691;165.528;-5.804;370.86;45.453;105.0;71.808;80.41;305.941;1083.36;918.544;1009.608;0;0;0;0
54.0;454.1;0.1;170.5;1.0;1.0;1.0;1.0;37505.499;454.1;311.998;305.94;3121.778;50.85;65.058;157.741;174.648;-5.804;365.056;45.453;105.0;76.18;85.364;305.94;1094.905;964.83;1062.044;0;0;0;0
55.0;458.6;-1.3;170.5;1.0;1.0;1.0;1.0;38505.11;458.6;282.453;305.941;2859.667;50.85;123.946;139.0;139.0;-5.804;359.252;45.453;105.0;66.0;66.0;305.941;1145.527;857.07;857.07;0;0;0;0
56.0;457.6;-1.0;170.5;1.0;1.0;1.0;1.0;38217.806;457.6;292.908;305.94;2952.925;50.85;103.701;139.0;158.245;-5.804;353.448;45.453;105.0;66.0;76.454;305.94;1128.124;857.07;967.732;0;0;0;0
57.0;456.2;-0.3;174.2;1.0;1.0;1.0;1.0;39223.096;456.2;285.879;305.94;2889.087;50.85;115.981;139.0;145.307;-5.062;348.386;45.453;105.0;66.0;69.426;305.94;1138.68;857.07;893.337;0;0;0;0
58.0;439.5;0.7;183.8;1.0;1.0;1.0;1.0;40009.299;439.5;300.751;305.94;3010.274;50.85;73.829;139.0;172.685;-3.136;345.25;45.453;105.0;66.0;84.298;305.94;1102.445;857.07;1050.76;0;0;0;0
