j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
5302.0;68.5;17.0;261.4;1.0;1.0;1.0;1.0;16375.507;68.5;158.859;288.47;1193.466;48.09;20.41;-0.0;0.0;0;735.3;40.577;118.281;0.0;0.0;288.47;1193.466;0.0;0.0;0;0;0;0
5303.0;73.5;16.6;318.6;1.0;1.0;1.0;1.0;25924.427;73.5;158.6;289.052;1197.64;48.182;25.318;0.0;0.0;0;735.3;40.732;117.868;0.0;-0.0;289.052;1197.64;0.0;0.0;0;0;0;0
5304.0;81.7;16.7;256.7;1.0;1.0;1.0;1.0;16869.115;81.7;157.869;288.906;1203.454;48.159;33.541;0.0;0.0;0;735.3;40.693;117.176;0.0;-0.0;288.906;1203.454;0.0;0.0;0;0;0;0
5305.0;84.0;16.4;259.7;1.0;1.0;1.0;1.0;17581.15;84.0;157.798;289.343;1204.802;48.228;35.772;0.0;0.0;0;735.3;40.81;116.988;0.0;-0.0;289.343;1204.802;0.0;0.0;0;0;0;0
5306.0;84.5;16.0;251.5;1.0;1.0;1.0;1.0;16359.154;84.5;157.919;289.926;1205.039;48.32;36.18;-0.0;0.0;0;735.3;40.965;116.954;0.0;-0.0;289.926;1205.039;0.0;0.0;0;0;0;0
5307.0;69.3;15.6;260.2;1.0;1.0;1.0;1.0;16345.818;69.3;159.363;290.508;1193.897;48.412;20.888;-0.0;0.0;0;735.3;41.121;118.241;0.0;-0.0;290.508;1193.897;0.0;0.0;0;0;0;0
5308.0;55.4;15.0;247.9;1.0;1.0;1.0;1.0;13219.805;55.4;160.78;291.381;1178.62;48.55;6.85;0.0;0.0;0;735.3;41.357;119.423;0.0;0.0;291.381;1178.62;0.0;0.0;0;0;0;0
5309.0;48.4;14.8;257.8;1.0;1.0;1.0;1.0;14217.294;48.4;161.101;290.432;1168.88;48.4;0.0;0.0;0.0;0;735.3;41.101;120.0;0.0;0.0;290.432;1168.88;0.0;0.0;0;0;0;0
5310.0;47.4;14.8;265.1;1.0;1.0;1.0;1.0;15023.482;47.4;159.432;284.102;1168.88;47.4;-0.0;-0.0;-0.0;0;735.3;39.432;120.0;0.0;0.0;284.102;1168.88;0.0;0.0;0;0;0;0
5311.0;46.9;15.5;255.5;1.0;1.0;1.0;1.0;13321.817;46.9;158.62;280.937;1168.88;46.9;0.0;0.0;0.0;0;735.3;38.62;120.0;0.0;-0.0;280.937;1168.88;0.0;0.0;0;0;0;0
5312.0;49.0;16.3;254.4;1.0;1.0;1.0;1.0;13673.52;49.0;160.785;289.489;1170.03;48.251;0.749;0.0;0.0;0;735.3;40.848;119.937;0.0;0.0;289.489;1170.03;0.0;0.0;0;0;0;0
5313.0;54.1;18.5;339.2;1.0;1.0;1.0;1.0;27460.858;54.1;159.466;286.286;1177.972;47.745;6.355;-0.0;-0.0;0;735.3;40.001;119.465;0.0;-0.0;286.286;1177.972;0.0;0.0;0;0;0;0
5314.0;73.4;21.6;380.7;1.0;1.0;1.0;1.0;35219.86;73.4;156.613;281.773;1198.461;47.032;26.368;-0.0;0.0;0;735.3;38.833;117.78;0.0;0.0;281.773;1198.461;0.0;0.0;0;0;0;0
5315.0;81.3;21.6;366.7;1.0;1.0;1.0;1.0;33697.155;81.3;155.948;281.773;1203.904;47.032;34.268;0.0;0.0;0;735.3;38.833;117.115;0.0;-0.0;281.773;1203.904;0.0;0.0;0;0;0;0
5316.0;80.8;23.6;355.4;1.0;1.0;1.0;1.0;31702.811;80.8;155.214;278.861;1203.879;46.572;34.228;0.0;0.0;0;735.3;38.096;117.118;0.0;-0.0;278.861;1203.879;0.0;0.0;0;0;0;0
5317.0;73.8;24.3;377.0;1.0;1.0;1.0;1.0;34395.535;73.8;155.535;277.842;1199.237;46.411;27.389;-0.0;0.0;0;735.3;37.841;117.694;0.0;-0.0;277.842;1199.237;0.0;0.0;0;0;0;0
5318.0;67.9;22.0;380.6;1.0;1.0;1.0;1.0;34718.228;67.9;156.92;281.19;1193.962;46.94;20.96;0.0;0.0;0;735.3;38.685;118.235;0.0;-0.0;281.19;1193.962;0.0;0.0;0;0;0;0
5319.0;66.2;23.0;371.6;1.0;1.0;1.0;1.0;33068.376;66.2;156.675;279.734;1192.619;46.71;19.49;0.0;0.0;0;735.3;38.316;118.359;0.0;-0.0;279.734;1192.619;0.0;0.0;0;0;0;0
5320.0;71.1;24.1;346.9;1.0;1.0;1.0;1.0;29503.525;71.1;155.839;278.133;1197.099;46.457;24.643;0.0;-0.0;0;735.3;37.914;117.925;0.0;0.0;278.133;1197.099;0.0;0.0;0;0;0;0
5321.0;61.6;22.8;358.7;1.0;1.0;1.0;1.0;30702.591;61.6;157.139;280.025;1188.006;46.756;14.844;0.0;0.0;0;735.3;38.389;118.75;0.0;-0.0;280.025;1188.006;0.0;0.0;0;0;0;0
5322.0;64.4;21.3;328.0;1.0;1.0;1.0;1.0;26234.758;64.4;157.488;282.209;1190.515;47.101;17.299;-0.0;-0.0;0;735.3;38.945;118.543;0.0;-0.0;282.209;1190.515;0.0;0.0;0;0;0;0
5323.0;61.0;17.7;352.3;1.0;1.0;1.0;1.0;30149.435;61.0;159.207;287.451;1186.09;47.929;13.071;0.0;0.0;0;735.3;40.307;118.899;0.0;-0.0;287.451;1186.09;0.0;0.0;0;0;0;0
5324.0;68.1;17.1;375.2;1.0;1.0;1.0;1.0;34410.849;68.1;158.852;288.324;1193.121;48.067;20.033;0.0;0.0;0;735.3;40.538;118.313;0.0;-0.0;288.324;1193.121;0.0;0.0;0;0;0;0
5325.0;66.3;16.7;355.8;1.0;1.0;1.0;1.0;31225.313;66.3;159.166;288.906;1191.338;48.159;18.141;0.0;-0.0;0;735.3;40.693;118.473;0.0;0.0;288.906;1191.338;0.0;0.0;0;0;0;0
5326.0;66.9;16.0;370.5;1.0;1.0;1.0;1.0;33688.749;66.9;159.401;289.926;1191.76;48.32;18.58;0.0;0.0;0;735.3;40.965;118.436;0.0;-0.0;289.926;1191.76;0.0;0.0;0;0;0;0
5327.0;70.5;15.6;326.1;1.0;1.0;1.0;1.0;26948.826;70.5;159.262;290.508;1194.957;48.412;22.088;0.0;-0.0;0;735.3;41.121;118.14;0.0;-0.0;290.508;1194.957;0.0;0.0;0;0;0;0
5328.0;73.9;14.9;268.7;1.0;1.0;1.0;1.0;18161.128;73.9;159.263;291.527;1197.647;48.573;25.327;0.0;0.0;0;735.3;41.396;117.867;0.0;-0.0;291.527;1197.647;0.0;0.0;0;0;0;0
5329.0;77.3;14.8;223.2;1.0;1.0;1.0;1.0;12019.978;77.3;160.702;291.673;1180.974;48.596;8.704;0.0;0.0;-20;715.3;41.435;119.267;0.0;-0.0;291.673;1180.974;0.0;0.0;0;0;0;0
5330.0;71.0;14.6;180.5;1.0;1.0;1.0;1.0;-5090.101;71.0;115.706;0.0;1211.779;0.0;51.0;0.0;0.0;-20;695.3;-0.0;115.706;-0.0;0.0;0.0;1211.779;0.0;0.0;0;0;0;10000
5331.0;67.3;14.5;199.2;1.0;1.0;1.0;1.0;-3316.896;67.3;116.017;0.0;1210.411;-0.0;47.3;0.0;-0.0;-20;675.3;0.0;116.017;0.0;-0.0;0.0;1210.411;0.0;0.0;0;0;0;10000
5332.0;62.2;14.1;199.8;1.0;1.0;1.0;1.0;-3778.394;62.2;116.447;0.0;1208.195;-0.0;42.2;0.0;0.0;-20;655.3;-0.0;116.447;-0.0;0.0;0.0;1208.195;0.0;0.0;0;0;0;10000
5333.0;54.2;13.8;199.4;1.0;1.0;1.0;1.0;-4640.534;54.2;117.12;0.0;1203.862;-0.0;34.2;0.0;0.0;-20;635.3;0.0;117.12;-0.0;-0.0;0.0;1203.862;0.0;0.0;0;0;0;10000
5334.0;45.1;13.8;223.1;1.0;1.0;1.0;1.0;-2743.807;45.1;117.887;0.0;1197.467;-0.0;25.1;0.0;0.0;-20;615.3;0.0;117.887;-0.0;0.0;0.0;1197.467;0.0;0.0;0;0;0;10000
5335.0;46.1;14.6;196.1;1.0;1.0;1.0;1.0;-5829.639;46.1;117.802;0.0;1198.254;-0.0;26.1;0.0;0.0;-20;595.3;0.0;117.802;-0.0;0.0;0.0;1198.254;0.0;0.0;0;0;0;10000
5336.0;50.8;15.7;243.9;1.0;1.0;1.0;1.0;10239.507;50.8;203.274;0.0;2208.8;-0.0;-0.0;-0.0;170.8;120;715.3;0.0;120.0;0.0;83.274;0.0;1168.88;0.0;1039.92;0;0;0;0
5337.0;49.4;17.6;230.1;1.0;1.0;1.0;1.0;3489.834;49.4;117.525;0.0;1200.7;0.0;29.4;0.0;0.0;-20;695.3;0.0;117.525;0.0;-0.0;0.0;1200.7;0.0;0.0;5000;0;0;0
